name,rate,Unnamed: 2,cuisines,food_type,avg_cost_for_two,Unnamed: 6,address,rest_type,mood,companions,seating,photo_url,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Reels ,crowdMorning,crowdAfternoon,crowdEvening,crowdNight,bestVisitTime,peakHours
Stoner,4.4,,"Ice Cream, Pizza, Beverages","desserts, beverages, snacks",550.0,,"50, Zatakia Centre, 100 Feet Road, Indiranagar, Bangalore",Dessert Parlor,"cozy,relaxed","family, friends",indoor,https://www.rohitdassani.com/wp-content/uploads/2015/12/P_20151121_183314.jpg,,,,,,,,,,,,,https://www.instagram.com/p/BpeJwm6FPI7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Cafe Azzure,4.3,,"Cafe, Continental, Italian, Burger","Indian,Beverages",1200.0,,"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/41/cb/e7/caption.jpg?w=1100&h=1100&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DTnMmgbEww6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Matteo Coffea,4.3,,Cafe," beverages,Indian",600.0,,"2, Church Street, Bangalore",Cafe,"relaxed, work",colleagues,indoor,https://im.whatshot.in/img/2021/Jan/160116-c-1612090722.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/Cu4Vi0fg85S/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Brik Oven,4.6,,"Cafe, Pizza, Beverages","beverages, Indian",1100.0,,"19, Church Street, Bangalore",Cafe,"relaxed,cozy,work","couple, friends","indoor,outdoor",https://cdn.shopify.com/s/files/1/0562/4011/1678/files/brik-oven_banner.png?v=1708601714,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Corner House Ice Cream,4.7,,"Ice Cream, Desserts","desserts,Beverages",400.0,,"3283, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Dessert Parlor,"cozy, relaxed","family,Couple","indoor",https://myreservetable.com/wp-content/uploads/2024/09/Corner-House-2-13.png,,,,,,,,,,,,,https://www.instagram.com/reel/DX9Qus_SY0Y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Milano Ice Cream,4.9,,"Ice Cream, Desserts","desserts,Beverages",400.0,,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",Dessert Parlor,"cozy, relaxed","family,friends",indoor,https://lh3.googleusercontent.com/1lYeUN0Bbv3QB0bu3NuiCfEta30tsJtUOkgtHJy2BBc2Ice5OuzMXjJBJTWrQ1NcjADuwQi3GZ22ZToqZDaDxQIcsoaTM5GGJIZfTsG0=w1600-rw,,,,,,,,,,,,,https://www.instagram.com/reel/DY7pNuXJjiw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Krazzy Folds,4.2,,"Cafe, Continental, Sandwich, Beverages","beverages, snacks,Indian,Desserts",800.0,,"12, 10th B Main, 31st Cross Road, 4th Block, Jayanagar, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://b.zmtcdn.com/data/pictures/0/59670/0f62fc9c3ee19db9a0c4d7344bf1f3c1.jpg,,,,,,,,,,,,,https://www.instagram.com/p/CIqiL0zFtgP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Berry'd Alive,4.3,,Desserts,"desserts,Snacks",400.0,,"139, Jyoti Nivas College Road, Ground Floor, Terra Tree Service Apartments, 1st Cross, Koramangala 5th Block, Bangalore",Dessert Parlor,"cozy, relaxed","family,colleagues",indoor,https://t3.ftcdn.net/jpg/05/33/20/50/360_F_533205052_HWh6a98A220dHEjNjoWAtLqrKTK0ZiJR.jpg,,,,,,,,,,,,,https://www.instagram.com/p/B1nWFmzgNh6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
The Teal Door Cafe,4.2,,"Cafe, Continental","snacks, beverages,Indian",800.0,,"618, 2nd Main Road, Binnamangala, Hoysala Nagar, Indiranagar, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://www.indian-travel-places.com/wp-content/uploads/2018/06/the-teal-door-cafe-indiranagar-bangalore.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/CkOfx3lpArT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Mudpipe Cafe,4.5,,"Cafe, Continental, Burger","snacks,Beverages",900.0,,"1, KDP Building, 4th Floor, Near Forum Mall, Above NEXA showroom, Hosur Road, BTM, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/83/24/c4/cozy-seating-on-fine.jpg?w=900&h=500&s=1,,,,,,,,,,,,,https://www.instagram.com/p/B0KzAgmFV3Y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Bistro Claytopia,4.1,,"Cafe, American, Italian, Burger","Indian,desserts",600.0,,"11, 80 Feet Road, Next to SBI, Koramangala 1st Block, Bangalore",Cafe,"relaxed, work",colleagues,indoor,"https://b.zmtcdn.com/data/pictures/7/53877/accf3533cb7415c63fe0de777569aa90.jpg?fit=around|750:500&crop=750:500;*,*",,,,,,,,,,,,,https://www.instagram.com/reel/DYUfIctyLB_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Dice N Dine,4.3,,"Continental, Cafe, Italian, Fast Food, Steak","Snacks,beverages",900.0,,"71/72, The Elite, 5th Block, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore","Casual Dining, Cafe","cozy,work","couple, family","indoor,outdoor",https://vmnk.gumlet.io/assets/bangalore/dice-n-dine-koramangala/images/original/dice-n-dine-koramangala-lpfyn.jpg,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
The White Room - Coffee & Kitchen,4.0,,"Cafe, Continental, American, Desserts","desserts,snacks",1000.0,,"33, High Gates Hotel, Church Street, Bangalore",Cafe,romantic,"couple, family","indoor,outdoor",https://content.jdmagicbox.com/comp/mangalore/u8/0824px824.x824.220316224434.i4u8/catalogue/whiteroom-deli-balmatta-mangalore-ice-cream-distributors-6l4gj7el7p.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DFHVAvVI1vc/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Boondock Bistro,4.0,,"Steak, Continental, American, Italian, Salad, Cafe","beverages,snacks,indian,desserts",900.0,,"33, Sundari Armadale, 3rd Floor, Above Axis Bank, Next to Forum Value Mall, Whitefield Main Road, Whitefield, Bangalore","Casual Dining, Cafe","cozy ,relaxed","couple, friends",indoor,https://content.jdmagicbox.com/v2/comp/bangalore/l4/080pxx80.xx80.130408183005.z7l4/catalogue/boon-dock-bistro-whitefield-bangalore-continental-restaurants-33ilzfr.jpg,,,,,,,,,,,,,,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Here & Now,4.6,,"Cafe, American, Burger, Beverages","Indian,Snacks,beverages",750.0,,"Shop 28, Opposite BDA Complex, 14th Main Road, Sector 2, HSR Layout, Bangalore",Cafe,"relaxed, work",colleagues,"indoor,outdoor",https://b.zmtcdn.com/data/pictures/0/18317320/5eb921c32fd688f995f2dc0479d0cfe7.jpg?fit=around|750:500&crop=750:500;*,*,,,,,,,,,,,,,https://www.instagram.com/reel/DX3DfFWhCKQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
154 Breakfast Club,4.0,,"Cafe, Continental"," beverages,desserts",900.0,,"154, 8th Main Road, 3rd Block, Koramangala 3rd Block, Bangalore",Cafe,"romantic,relaxed,cozy","couple, friends","indoor,outdoor",https://b.zmtcdn.com/data/pictures/4/20473034/0441e8a1759cc9cc1cf3705996ea4b76.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DUz0U8dE26r/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Hungry Hippie,4.3,,"Cafe, Continental, Italian, Burger","indian,desserts",800.0,,"104, Vijay Building, 5th Main, Koramangala 5th Block, Bangalore",Cafe,"romantic,work,cozy","couple, friends",outdoor,https://images.jdmagicbox.com/v2/comp/bangalore/a3/080pxx80.xx80.160919125341.d7a3/catalogue/hungry-hippie-koramangala-5th-block-bangalore-rooftop-restaurants-oho196e6vm.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DYcsJ1lhaS0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Dr. Sheesha,4.1,,"Cafe, Chinese, Continental, Italian","snacks, beverages,indian",800.0,,"N17, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Cafe,"relaxed,work,cozy","couple, friends",indoor,https://b.zmtcdn.com/data/pictures/chains/9/18254599/75e19dee62acd865435f751ab39d701a_featured_v2.jpg?fit=around|750:500&crop=750:500;*,*,,,,,,,,,,,,,https://www.instagram.com/reel/CxmdKoIPQvU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
The Ants Cafe & Store,3.9,,"Cafe, Italian"," beverages,indian",900.0,,"2286/B, 1st Cross, 14th A Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",Cafe,romantic,"couple, friends",outdoor,https://dt4l9bx31tioh.cloudfront.net/eazymedia/restaurant/657390/restaurant620181001080006.png?width=818&height=786&mode=fit,,,,,,,,,,,,,https://www.instagram.com/reel/DTFFE6UE6jB/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Starbucks,4.2,,"Cafe, Desserts","desserts,beverages",700.0,,"Ground Floor, Near Forum Mall, Industrial Layout, Koramangala 7th Block, Bangalore",Cafe,"relaxed, work","friends, colleagues",indoor,https://content.jdmagicbox.com/v2/comp/bangalore/n9/080pxx80.xx80.250620192103.t9n9/catalogue/starbucks-coffee-electronic-city-bangalore-coffee-shops-5dslq15zmn.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DXtzPAIuFWp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Go Native,4.3,,"Healthy Food, Cafe, Beverages","indian,desserts",800.0,,"64, 10th Main Road, 5th Block, Jayanagar, Bangalore","Casual Dining, Cafe",romantic,"couple, friends","indoor,outdoor",https://media-cdn.tripadvisor.com/media/photo-m/1280/16/e4/04/1b/getlstd-property-photo.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DY3ySQUvbvk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Attic Lounge,4.0,,Cafe,,700.0,,"612, Basil Montana, 4th Floor, Above YES Bank, 80 Feet Road, Koramangala 4th Block, Bangalore",Cafe,"relaxed, work",colleagues,"indoor,outdoor","https://b.zmtcdn.com/data/pictures/1/19155531/ae79372dfcec0fb869390a0f4e312efe.jpg?fit=around|750:500&crop=750:500;*,*",,,,,,,,,,,,,https://www.instagram.com/reel/DOfrahjDxkZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Third Wave Coffee Roasters,4.4,,"Cafe, Continental, Desserts",desserts,800.0,,"984, 80 Feet Main Road, Koramangala 4th Block, Bangalore",Cafe,"romantic, work","couple, colleagues","indoor,outdoor",https://stores.thirdwavecoffeeroasters.com/360view/Bangalore/PhoenixMarketCity-Bengaluru/gallery/img_01.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DY3kdeExKZW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
The Yogisthaan Cafe,4.2,,"Cafe, Healthy Food, Salad, Beverages","beverages,indian,Desserts",600.0,,"89, Near BDA Complex, 11th Cross, 60 Feet Road, Off Double Road, Indiranagar, Bangalore",Cafe,"relaxed, work","friends, colleagues",indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c9/c4/15/photo5jpg.jpg?w=900&h=500&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DV_vhm9k2m5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Smise,4.0,,"Cafe, Continental, Italian, Burger, Pizza","snacks, beverages,indian,",650.0,,"107, 4th Floor, Art Arcade, 80Ft Road, Koramangala 4th Block, Bangalore",Cafe,"relaxed, work",colleagues,indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/25/5c/dd/smise-rohit-dassani.jpg?w=900&h=500&s=1,,,,,,,,,,,,,https://www.instagram.com/reel/DKEfsQlN6Vc/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Cafe Medley,4.2,,"Cafe, Continental, Burger",snacks,800.0,,"473, KHB Colony, 17th C Main, Koramangala 5th Block, Bangalore",Cafe,romantic,"couple, friends",indoor,https://www.fabhotels.com/blog/wp-content/uploads/2021/01/8.-Caf%C3%A9-Medley.jpg,,,,,,,,,,,,,,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Lot Like Crepes,4.6,,"Desserts, Continental",desserts,550.0,,"203, 1st Main, Koramangala 7th Block, bangalore",Dessert Parlor,cozy,family,indoor,https://b.zmtcdn.com/data/pictures/5/18902215/b043fb39cc467f943aff496b8c5fc35c.jpeg,,,,,,,,,,,,,https://www.instagram.com/reel/DC8LpUaSxtY/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Cream Stone,4.1,,"Desserts, Beverages","desserts, beverages",500.0,,"89, 17th Main Road, HSR, Bangalore",Dessert Parlor,"cozy, relaxed",family,indoor,https://content.jdmagicbox.com/v2/comp/hyderabad/r2/040pxx40.xx40.221112171909.b9r2/catalogue/-jtb1gukadm.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DWL9nfnSy6W/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Busy,Moderate,10 AM - 2 PM,6 PM - 9 PM
Kargeens,4.1,,"Cafe, Continental, Italian","snacks, beverages",600.0,,"36, 100 Feet Road, Koramangala 6th Block, Bangalore",Cafe,"relaxed, work",colleagues,indoor,https://b.zmtcdn.com/data/reviews_photos/371/123dfe01569d03849b2c7a1846d91371_1460291144.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/Cp2SNWMve9J/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
YORK St.,4.4,,"Cafe, European, Continental","snacks, beverages",900.0,,"122B, 1st A Cross Road, near to McDonald?s,2 nd floor KHB colony, Koramangala 5th Block, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://b.zmtcdn.com/data/pictures/8/18612848/5b3a1695bdb7bf9020ca7bb17cadb5ca.jpg?fit=around|750:500&crop=750:500;*,*,,,,,,,,,,,,,,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
BLOW,4.2,,"Cafe, Continental, American, Burger","Beverages, Indian",750.0,,"42, Church Street, Bangalore",Cafe,"relaxed, work",colleagues,"indoor,outdoor",https://content.jdmagicbox.com/v2/comp/bangalore/x6/080pxx80.xx80.160308062414.p7x6/catalogue/blow-resto-cafe-church-street-bangalore-coffee-shops-11mey9d.jpg,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Zoey's,4.3,,"Cafe, Italian, Continental, Burger","snacks, beverages",600.0,,"Ground Floor, Sri Renuka Complex, Opposite Fire Station, Kaikondrahalli, Sarjapur Road, Bangalore",Cafe,"relaxed, work",colleagues,indoor,https://b.zmtcdn.com/data/pictures/1/20910141/a3aa46ce3216d053eccb10e81a680b75.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/C-4Nz8FIg4d/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Mustard Cafe,4.1,,"Cafe, Continental, Burger, Salad, Healthy Food, Italian","Indian , Desserts",800.0,,"1053, 1st Floor, Above Natural's Salon, 80 Feet Road, Koramangala 3rd Block, Bangalore",Cafe,romantic,"couple, friends","indoor,outdoor",https://img.magicpin.com/9378558_store_images_0.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/DYMr5ceBh8u/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Cafe D'hide,4.2,,"Cafe, American, Continental, Italian"," beverages,indian",600.0,,"130, 1st Cross, Koramangala 5th Block, Bangalore",Cafe,"relaxed, work",colleagues,indoor,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/13/f1/fb/dhide-entrance.jpg?w=500&h=-1&s=1,,,,,,,,,,,,,,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Peppermill Bistro,4.0,,"Continental, European, Mediterranean, Cafe, Steak","beverages,snacks,desserts",1000.0,,"19, Jaladarshini Layout, Above Reliance Digital, New BEL Road, Bangalore","Casual Dining, Cafe",romantic,"couple, friends","indoor,outdoor",https://b.zmtcdn.com/data/pictures/3/61283/ab91dfcbe6155a2550472119f5745bf2.jpg?fit=around|750:500&crop=750:500;*,*,,,,,,,,,,,,,https://www.instagram.com/reel/DMwT1Hqz4Ta/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Beyond Elements,4.1,,"Cafe, Italian, Pizza, North Indian",Beverages ,900.0,,"Plot No 7, 4th Floor, Prashanth Layout, Trijal Commerspace, ITPL Main Road, Hope Farm Circle, Whitefield, Bangalore","Casual Dining, Cafe","romantic,relax,work,","couple, family","indoor,outdoor",https://b.zmtcdn.com/data/pictures/4/18416534/29599f87ec80b59e81b2dd5f66bc5de5.jpg?fit=around|750:500&crop=750:500;*,*,,,,,,,,,,,,,https://www.instagram.com/reel/DNAAm7rz8w0/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==,Moderate,Busy,Moderate,Peaceful,10 AM - 1 PM,12 PM - 3 PM
Barley & Grapes Cafe,4.2,,"Cafe, Italian, Continental","snacks, beverages,indian",1000.0,,"Lower Ground Floor, Phoenix Market City, Mahadevpura, Whitefield, Bangalore",Cafe,"romantic,cozy,relax","couple, friends","indoor,outdoor",https://content3.jdmagicbox.com/v2/comp/bangalore/i8/080pxx80.xx80.200318203749.j6i8/catalogue/barley-and-grapes-cafe-hunachur-bangalore-coffee-shops-gml3e7ttis.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/C7O0bzEKimW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
Giselle Resto Cafe,4.1,,"Cafe, Italian, Pizza, Beverages, Desserts","desserts, beverages, snacks",800.0,,"13, Captain Munshi Layout, Kammanahalli, Bangalore",Cafe,"romantic,relax,cozy","couple, friends","indoor,outdoor",https://content.jdmagicbox.com/v2/comp/bangalore/b6/080pxx80.xx80.171029191502.v5b6/catalog/giselle-resto-cafe-lingarajapuram-bangalore-restaurants-bb1yb.jpg,,,,,,,,,,,,,https://www.instagram.com/reel/CtBu9LIOyAw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Peaceful,Moderate,Crowded,Very Crowded,11 AM - 4 PM,7 PM - 10 PM
